Date,Total Users,Total new users,Published datasets (metastore),Published datasets (DB),Unlisted datasets,Unlisted datasets (extracting our datasets),Private datasets,Private datasets(extracting our datasets),Total datasets,Number of pushes,Number of pushes (excluding us),Speed of a 1Mb of packaged dataset push (in seconds),Speed of a 5kb of packaged dataset push (in seconds),Clicks on download link (csv + json + zip),cli-macos,cli-linux,cli-windows,data-desktop,Total downloads,Download page (unique pageviews),sign-in-pricing-page,sign-up-pricing-page,contact-us-pricing-page,Pricing page (unique pageviews),Site Traffic,Data stored (Published),Data growth,Total number of data requests,Comment
2017-08-11,21,11,71,178,,,,,,0,,,,34,,,,,,,,,,,197,,,,
2017-08-14,25,4,75,182,,,,,465,4,,,,4,,,,,,,,,,,173,,0,,
2017-08-15,28,3,75,182,,,,,390,0,,,,21,,,,,,,,,,,180,,0,,
2017-08-16,31,3,77,184,,,,,315,2,,,,9,,,,,,,,,,,183,,0,,
2017-08-17,33,2,79,186,,,,,238,2,,,,14,,,,,,,,,,,197,,0,,
2017-08-18,37,4,79,186,,,,,159,0,,,,9,,,,,,,,,,,161,,0,,
2017-08-21,45,8,80,187,,,,,80,1,,,,13,,,,,,,,,,,194,,0,,
2017-08-22,48,3,80,187,,,,,80,0,,,,61,,,,,,,,,,,1065,,0,,
2017-08-23,55,7,80,187,,,,,80,0,,,,44,,,,,,,,,,,418,,0,,
2017-08-24,62,7,80,187,,,,,80,0,,,,5,,,,,,,,,,,159,,0,,
2017-08-25,63,1,83,190,,,,,83,3,,,,7,,,,,,,,,,,167,,0,,
2017-08-28,73,10,83,190,,,,,83,0,,,,19,,,,,,,,,,,206,,0,,
2017-08-29,75,2,83,190,,,,,83,0,,,,112,,,,,,,,,,,494,,0,,
2017-08-30,78,3,83,190,,,,,83,0,,,,286,,,,,,,,,,,933,,0,,
2017-08-31,82,4,83,190,,,,,83,0,,,,265,,,,,,,,,,,856,,0,,
2017-09-01,92,10,83,190,,,,,83,0,,,,214,,,,,,,,,,,645,,0,,
2017-09-04,95,3,87,194,,,,,87,4,,,,196,,,,,,,,,,,698,,0,,
2017-09-05,100,5,88,195,,,,,88,1,,,,245,,,,,,,,,,,903,,0,,
2017-09-06,105,5,88,195,,,,,88,0,,,,247,,,,,,,,,,,883,,0,,
2017-09-07,107,2,91,198,,,,,91,3,,,,210,,,,,,,,,,,791,,0,,
2017-09-08,110,3,91,198,,,,,91,0,,,,193,,,,,,,,,,,639,,0,,
2017-09-11,118,8,91,198,,,,,91,0,,,,143,,,,,,,,,,,584,,0,,
2017-09-12,123,5,91,198,,,,,91,0,,,,220,,,,,,,,,,,740,,0,,
2017-09-13,127,4,91,198,,,,,91,0,,,,151,,,,,,,,,,,582,,0,,
2017-09-14,130,3,93,200,,,,,93,2,,,,224,,,,,,,,,,,662,,0,,
2017-09-15,132,2,93,200,,,,,93,0,,,,223,,,,,,,,,,,650,,0,,
2017-09-18,136,4,93,200,,,,,93,0,,,,236,,,,,,,,,,,792,,0,,
2017-09-19,138,2,93,200,,,,,93,0,,,,232,,,,,,,,,,,687,,0,,
2017-09-20,139,1,93,200,,,,,93,0,,,,233,,,,,,,,,,,704,,0,,
2017-09-21,143,4,93,200,,,,,93,0,,,,188,,,,,,,,,,,667,694415210,"694,415,210",,
2017-09-22,152,9,93,200,,,,,93,,,,,205,,,,,,,,,,,573,694415210,0,,
2017-09-25,159,7,93,200,,,,,93,,,,,534,,,,,,,,,,,730,694415210,0,,
2017-09-26,170,11,101,208,,,,,101,,,,,254,,,,,,,,,,,718,694133885,"-281,325",,
2017-09-27,171,1,105,212,,,,,105,,,,,364,,,,,,,,,,,858,694053140,"-80,745",,
2017-09-28,178,7,106,213,,,,,106,,,,,198,,,,,,,,,,,658,694053140,0,,
2017-09-29,181,3,107,214,,,,,107,,,,,235,,,,,,,,,,,550,694053140,0,,
2017-10-02,190,9,113,220,,,,,113,,,,,121,,,,,,,,,,,615,983463310,"289,410,170",,
2017-10-03,193,3,116,223,,,,,116,,,,,150,,,,,,,,,,,635,963706428,"-19,756,882",,
2017-10-04,195,2,126,233,,,,,126,,,,,209,,,,,,,,,,,669,1044124368,"80,417,940",,
2017-10-05,200,5,143,250,28,,,,200,,,,,233,,,,,,,,,,,615,1180902672,"136,778,304",,
2017-10-06,203,3,145,252,28,,,,195,,,,,171,,,,,,,,,,,535,1204185083,"23,282,411",,
2017-10-09,218,15,157,264,28,,,,204,,,,,232,,,,,,,,,,,657,2797181151,"1,592,996,068",,
2017-10-10,220,2,157,264,28,,,,204,,,,,245,,,,,,,,,,,756,2797181151,0,,
2017-10-11,224,4,160,267,28,,,,211,,,,,198,,,,,,,,,,,734,2898551729,"101,370,578",,
2017-10-12,227,3,160,267,28,,,,211,,,,,206,,,,,,,,,,,685,2898551729,0,,
2017-10-13,232,5,161,268,28,,,,214,,,,,160,,,,,,,,,,,531,2899574013,"1,022,284",,
2017-10-16,235,3,161,268,28,,,,214,,,,,211,,,,,,,,,,,950,3245069635,"345,495,622",,
2017-10-17,237,2,161,268,28,,,,214,,,,,176,,,,,,,,,,,880,3245069635,0,,
2017-10-18,237,0,161,268,28,,,,215,,,,,241,,,,,,,,,,,829,3249910318,"4,840,683",,
2017-10-19,241,4,161,268,28,,,,218,,,,,215,,,,,,,,,,,746,3249910271,-47,,
2017-10-20,243,2,161,268,28,,,,218,,,,,219,,,,,,,,,,,556,3249911927,"1,656",,
2017-10-23,248,5,162,269,28,,,,219,,,,,222,,,,,,,,,,,818,3324448005,"74,536,078",,
2017-10-24,250,2,162,269,28,,,,221,,,,,258,,,,,,,,,,,851,3324448005,0,,
2017-10-25,254,4,165,272,28,,,,225,,,,,257,,,,,,,,,,,786,3324539159,"91,154",,
2017-10-26,258,4,164,271,28,,,,227,,,,,302,,,,,,,,,,,833,3324591084,"51,925",,
2017-10-27,263,5,164,271,28,,,,229,,,,,289,,,,,,,,,,,699,3324591429,345,,
2017-10-30,268,5,164,271,28,,,,232,,,,,308,,,,,,,,,,,869,3324591429,0,,
2017-10-31,273,5,164,271,28,,,,234,,,,,266,,,,,,,,,,,778,3324591429,0,,
2017-11-01,277,4,164,271,28,,,,239,,,,,254,,,,,,,,,,,725,3324591429,0,,
2017-11-02,279,2,164,271,28,,,,242,,,,,229,,,,,,,,,,,750,3324591429,0,,
2017-11-03,283,4,164,271,28,,,,242,,,,,282,,,,,,,,,,,705,3324591429,0,,
2017-11-06,286,3,164,271,28,,,,244,,,,,261,,,,,,,,,,,1062,3324591429,0,,
2017-11-07,290,4,164,271,28,,,,246,,,,,339,,,,,,,,,,,902,3324591429,0,,
2017-11-08,291,1,164,271,28,,,,246,,,,,351,,,,,,,,,,,840,3324591429,0,,
2017-11-09,295,4,166,273,28,,,,246,,,,,307,,,,,,,,,,,799,3326070629,"1,479,200",,
